Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::InputDigitHelper(char,int *)",,,,0,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,0,22,5,11,5,0,0,12,3,0,13,10,3,0,7,3,3,3,1,1,,,,,0,,2,0,,0.23,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::InputDigitWithOptionToRememberPosition(i18n::phonenumbers::char32,bool,int *)",,,,3,88,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,110,3,88,8,39,19,0,0,11,72,2,44,41,4,1,36,19,16,19,13,24,,,,,22,,3,22,,0.22,,,,
Private Const Function,"i18n::phonenumbers::AsYouTypeFormatter::IsNanpaNumberWithNationalPrefix()",,,,0,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,0,5,1,0,5,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,1.00,,,,
Private Function,"i18n::phonenumbers::AsYouTypeFormatter::MaybeCreateNewTemplate()",,,,0,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,0,19,3,2,4,0,0,2,1,0,12,4,2,0,2,1,1,1,1,0,,,,,0,,0,0,,0.21,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::NarrowDownPossibleFormats(const int &)",,,,1,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,1,25,6,0,3,0,0,0,1,0,13,4,4,0,0,1,1,1,1,0,,,,,0,,0,0,,0.12,,,,
Private Function,"i18n::phonenumbers::AsYouTypeFormatter::NormalizeAndAccrueDigitsAndPlusSign(i18n::phonenumbers::char32,bool)",,,,1,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,1,19,5,8,0,0,0,4,4,1,10,8,2,0,6,3,3,3,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::RemoveNationalPrefixFromNationalNumber(int *)",,,,2,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,2,26,5,7,6,0,0,2,5,1,12,10,3,0,7,5,5,5,1,1,,,,,0,,3,0,,0.23,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::SetShouldAddSpaceAfterNationalPrefix(const i18n::phonenumbers::NumberFormat &)",,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,0,8,3,0,0,0,0,0,1,0,2,1,1,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"i18n::phonenumbers::AsYouTypeFormatter::~AsYouTypeFormatter()",,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Class,"i18n::phonenumbers::AutoLock",0,3,0,2,11,0,1,1,1,1,3,0,3,0,0,2,0,,0,0,,,,,2,1,1,0,0,2,2,0,0,0,0,2,,13,2,11,3,3,0,0,0,,,,,7,5,0,2,,,,,,1,1,1,1,,0,0,,0,0.00,2,2,2,2
